FID,STRASSENNA,Shape_Leng,d_RADWEGAR,START_X,START_Y,END_X,END_Y
10280,Boschetsrieder Straße,347.2716322,Getrennter Rad- und Gehweg,687120.6198,5330244.956,686780.0012,5330228.586
10281,Siemensallee,109.0869289,Radweg,688747.864,5329464.787,688639.0149,5329467.953
10282,Hofbrunnstraße,96.01014449,Getrennter Rad- und Gehweg,687014.8738,5328892.481,686929.1781,5328935.77
10283,Hofbrunnstraße,7.007593099,Übergang,686789.577,5328992.661,686783.4181,5328996.003
10284,Blumenauer Straße,7.046416011,Getrennter Rad- und Gehweg (Zweirichtungsradweg),684182.5509,5333442.435,684178.5539,5333448.238
10285,Rolf-Pinegger-Straße,2.639946003,Getrennter Rad- und Gehweg,684180.6162,5333449.886,684178.5539,5333448.238
10286,Paul-Ehrlich-Weg,9.433066779,Übergang,682236.8773,5340724.566,682228.3239,5340720.588
10287,Paul-Ehrlich-Weg,85.00228254,Getrennter Rad- und Gehweg,682221.2111,5340718.085,682143.175,5340684.387
10288,Franz-Nißl-Straße,1.508330789,Übergang,683024.5484,5340551.749,683023.9685,5340553.141
10289,Franz-Nißl-Straße,5.045797353,Übergang,683017.4094,5340620.681,683016.065,5340625.545
10290,Franz-Nißl-Straße,4.087863152,Übergang,683001.1529,5340639.426,682999.9279,5340643.326
10291,Franz-Nißl-Straße,69.50402018,Getrennter Rad- und Gehweg,683009.531,5340647.116,682984.0892,5340711.785
10292,Franz-Nißl-Straße,3.471800622,Übergang,682999.9279,5340643.326,682999.0869,5340646.694
10293,Wotanstraße,7.088810862,Übergang,686230.0422,5335263.442,686230.5486,5335256.372
10294,Wotanstraße,44.67633922,Getrennter Rad- und Gehweg,686530.3356,5336344.477,686564.2263,5336373.137
10295,Bergsonstraße,22.98505618,Übergang,682138.9675,5337493.465,682116.6458,5337487.982
10296,Bergsonstraße,4.298983345,Übergang,681670.4611,5337403.822,681666.2618,5337402.902
10297,Bergsonstraße,7.451529901,Übergang,681666.2618,5337402.902,681658.9199,5337401.628
10298,Friedenheimer Straße,8.715347815,Übergang,686626.4183,5333774.252,686625.0911,5333765.639
10299,Siglstraße,6.868690897,Übergang,687016.1467,5334645.011,687015.3803,5334638.185
10300,Bergsonstraße,165.9311782,Getrennter Rad- und Gehweg,680440.6178,5337000.416,680304.0465,5337092.325
10301,Bergsonstraße,15.02014037,Getrennter Rad- und Gehweg,679984.8917,5336985.138,679971.1163,5336979.151
10302,Bergsonstraße,176.6366924,Getrennter Rad- und Gehweg,679960.2454,5336975.32,679794.2115,5336915.284
10303,Offenbachstraße,5.558206375,Übergang,683454.1352,5336077.97,683454.3021,5336083.525
10304,Offenbachstraße,135.826971,Getrennter Rad- und Gehweg,683387.4855,5335546.594,683413.9209,5335679.822
10305,Offenbachstraße,26.48400213,Getrennter Rad- und Gehweg,683439.769,5335810.223,683444.709,5335836.242
10306,Dülferstraße,39.24089357,Getrennter Rad- und Gehweg,689721.5077,5343197.274,689682.8249,5343203.868
10307,Dülferstraße,40.71982986,Getrennter Rad- und Gehweg,689674.4729,5343192.21,689634.6027,5343200.485
10308,Balanstraße,10.35696382,Übergang,694352.4842,5329788.609,694355.9743,5329778.858
10309,Ottobrunner Straße,68.97412633,Getrennter Rad- und Gehweg,695110.6157,5331459.815,695157.8668,5331409.596
10310,Effnerplatz,44.17314406,Getrennter Rad- und Gehweg,694439.7592,5336599.852,694472.1043,5336570.403
10311,Richard-Strauss-Straße,5.968528143,Getrennter Rad- und Gehweg,694440.3531,5336525.077,694445.9849,5336523.101
10312,Richard-Strauss-Straße,10.3816109,Übergang,694430.853,5336529.264,694440.3531,5336525.077
10313,Ostpreußenstraße,19.33381798,Getrennter Rad- und Gehweg,696420.932,5336544.873,696423.5881,5336564.024
10314,Ostpreußenstraße,68.15245352,Getrennter Rad- und Gehweg,696432.5117,5336627.725,696440.4413,5336695.41
